datetime,value
2020-12-13 11:00:02.137000,117.0328
2020-12-13 11:15:02.195000,120.7331
2020-12-13 11:30:02.259000,110.578
2020-12-13 11:45:02.156000,105.5492
2020-12-13 12:00:02.194000,116.8425
2020-12-13 12:15:02.103000,110.2506
2020-12-13 12:30:02.127000,94.1131
2020-12-13 12:45:02.137000,92.5058
2020-12-13 13:00:02.083000,75.9514
2020-12-13 13:15:02.214000,36.823
2020-12-13 13:30:02.114000,21.7206
2020-12-13 13:45:02.163000,1.8275
2020-12-13 14:00:02.173000,2.2232
2020-12-13 14:15:02.141000,0.187054842710495
2020-12-13 14:30:02.147000,0.015718214213848114
2020-12-13 14:45:02.584000,0.0013223866699263453
2020-12-13 15:00:02.273000,0.00011123855074401945
2020-12-13 15:15:02.211000,9.357167073176242e-06
2020-12-13 15:30:02.090000,7.872546348153264e-07
2020-12-13 15:45:02.276000,6.623458403964833e-08
2020-12-13 16:00:02.095000,5.572988293067738e-09
2020-12-13 16:15:02.118000,4.688434085409199e-10
2020-12-13 16:30:02.312000,3.944643917064283e-11
2020-12-13 16:45:02.156000,3.318463993179366e-12
2020-12-13 17:00:02.202000,2.7919021803636535e-13
2020-12-13 17:15:02.358000,2.3486895479700454e-14
2020-12-13 05:00:01.687000,112.6836
2020-12-13 05:15:01.492000,112.2676
2020-12-13 05:30:02.497000,103.3616
2020-12-13 05:45:01.497000,102.9633
2020-12-13 06:00:01.638000,109.8079
2020-12-13 06:15:01.570000,110.8528
2020-12-13 06:30:01.476000,102.379
2020-12-13 06:45:01.614000,99.0293
2020-12-13 07:00:01.680000,99.0293
2020-12-13 07:15:01.543000,99.0293
2020-12-13 07:30:01.642000,99.0293
2020-12-13 07:45:02.500000,98.9409
2020-12-13 08:00:01.478000,104.0043
2020-12-13 08:15:01.509000,103.5599
2020-12-13 08:30:01.479000,109.5841
2020-12-13 08:45:01.497000,104.6969
2020-12-13 09:00:01.497000,104.6969
2020-12-13 09:15:08.288000,104.6969
2020-12-13 09:30:02.605000,104.6969
2020-12-13 09:45:01.493000,103.8021
2020-12-13 10:00:01.499000,102.3822
2020-12-13 10:15:01.515000,96.13
2020-12-13 10:30:01.504000,108.7526
2020-12-13 10:45:01.523000,114.0767
2020-12-13 11:00:01.497000,114.0767
2020-12-13 11:15:01.550000,114.0767
2020-12-13 11:30:01.498000,114.0767
2020-12-13 11:45:01.529000,114.0767
2020-12-13 12:00:02.503000,114.0767
2020-12-13 12:15:00.998000,114.0767
2020-12-13 12:30:01.486000,114.0767
2020-12-13 12:45:01.520000,114.0767
2020-12-13 13:00:01.527000,114.0767
2020-12-13 13:15:00.979000,114.0767
2020-12-13 13:30:01.555000,114.0767
2020-12-13 13:45:01.498000,5.8016
2020-12-13 14:00:01.484000,7.0581
2020-12-13 14:15:00.995000,0.5938205122947693
2020-12-13 14:30:01.482000,0.04996340349316597
2020-12-13 14:45:01.516000,0.013327393680810928
2020-12-13 15:00:01.464000,0.013327393680810928
2020-12-13 15:15:00.981000,0.013327393680810928
2020-12-13 15:30:01.485000,0.013327393680810928
2020-12-13 15:45:01.505000,0.013327393680810928
2020-12-13 16:00:01.522000,0.013327393680810928
2020-12-13 16:15:00.994000,0.013327393680810928
2020-12-13 16:30:01.503000,0.013327393680810928
2020-12-13 16:45:01.502000,1.0535169091274721e-11
2020-12-13 17:00:02.220000,8.863142424847537e-13
2020-12-13 17:15:00.958000,7.456235878288558e-14
2020-12-13 17:30:02.148000,1.9758248399074025e-15
2020-12-13 17:45:02.132000,1.6565477612500535e-16
2020-12-13 18:00:02.097000,1.3895487818561866e-17
2020-12-13 18:15:02.120000,1.1660682377098776e-18
2020-12-13 18:30:02.158000,9.810348493946984e-20
2020-12-13 18:45:02.155000,8.23309665780221e-21
2020-12-13 19:00:02.143000,6.926781368950644e-22
2020-12-13 19:15:02.144000,5.960420954038642e-23
2020-12-13 19:30:02.131000,5.0011020377843875e-24
2020-12-13 19:45:02.144000,4.207457184211276e-25
2020-12-13 20:00:02.088000,3.539790828752115e-26
2020-12-13 20:15:02.116000,2.9782875327285706e-27
2020-12-13 20:30:02.143000,18.1785
2020-12-13 20:45:00.084000,44.1322
2020-12-13 21:00:02.239000,76.5478
2020-12-13 21:15:02.182000,84.3121
2020-12-13 21:30:02.196000,88.1034
2020-12-13 21:45:02.196000,90.3527
2020-12-13 22:00:02.142000,98.4306
2020-12-13 22:15:02.211000,105.0737
2020-12-13 22:30:02.106000,92.1615
2020-12-13 22:45:02.237000,94.165
2020-12-13 23:00:02.212000,105.6987
2020-12-13 23:15:09.834000,108.6111
2020-12-13 23:30:07.485000,101.0553
2020-12-13 23:45:09.619000,114.8732
2020-12-14 00:00:07.514000,100.796
2020-12-14 00:15:07.291000,100.9116
2020-12-14 05:00:04.746000,125.6716
2020-12-14 05:16:26.202000,112.6507
2020-12-14 05:30:04.743000,122.814
2020-12-14 05:45:04.784000,124.8695
2020-12-14 06:00:04.816000,137.3535
2020-12-14 06:15:04.486000,133.9334
2020-12-14 06:30:02.147000,129.9392
2020-12-14 06:45:04.750000,126.1454
2020-12-14 07:00:04.477000,120.7777
2020-12-14 07:15:02.206000,133.9655
2020-12-14 07:30:04.744000,126.8453
2020-12-14 07:45:02.107000,130.1157
2020-12-14 08:00:04.765000,134.0329
2020-12-14 08:15:04.799000,118.5769
2020-12-14 08:30:05.200000,127.1666
2020-12-14 08:45:04.814000,124.5318
2020-12-14 09:00:04.752000,152.8943
2020-12-14 09:15:02.141000,197.9282
2020-12-14 09:30:04.735000,197.3033
2020-12-14 09:45:02.211000,197.3237
2020-12-14 10:00:04.667000,191.2348
2020-12-14 10:15:02.179000,191.8085
2020-12-14 10:30:04.430000,173.7137
2020-12-14 10:45:04.751000,176.5393
2020-12-14 11:00:02.107000,180.931
2020-12-14 11:15:02.199000,185.2479
2020-12-14 11:30:02.142000,171.8444
2020-12-14 11:45:02.162000,173.6205
2020-12-14 12:00:04.714000,252.8052
2020-12-14 12:15:02.139000,351.3802
2020-12-14 12:30:02.149000,357.2953
2020-12-14 12:45:02.166000,330.7082
2020-12-14 13:00:02.187000,318.1682
2020-12-14 13:15:02.205000,313.0568
2020-12-14 13:30:03.505000,323.707
2020-12-14 13:45:02.160000,306.9734
2020-12-14 14:00:02.472000,37.8639
2020-12-14 14:15:02.213000,271.174
2020-12-14 14:30:02.252000,289.5887
2020-12-14 14:45:02.293000,290.2833
2020-12-14 15:00:02.155000,274.5574
2020-12-14 15:15:02.194000,273.5172
2020-12-14 15:30:02.284000,268.3106
2020-12-14 15:45:02.154000,272.4841
2020-12-14 16:00:02.228000,272.7726
2020-12-14 16:15:02.236000,267.5665
2020-12-14 16:30:02.194000,275.8596
2020-12-14 16:45:02.188000,282.4188
2020-12-14 17:00:02.258000,260.1905
2020-12-14 17:15:02.312000,268.0833
2020-12-14 17:30:02.121000,265.835
